Alloy formula,Al,Cr,Hf,Mo,Nb,Si,Ta,Ti,V,W,Zr,Temperature (C),time (h),specific mass gain (mg/cm2),source
Cr-31Nb,0.0,69.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,3,2.13,http://dx.doi.org/10.1179/mht.2000.17.2.009
Cr-18.5Nb,0.0,81.5,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,1100,3,4.38,http://dx.doi.org/10.1179/mht.2000.17.2.009
Cr-31Ta,0.0,69.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,3,2.24,http://dx.doi.org/10.1179/mht.2000.17.2.009
Cr-9.5Ta,0.0,90.5,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1100,3,3.19,http://dx.doi.org/10.1179/mht.2000.17.2.009
AlTi,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,800,3,0.23,https://doi.org/10.1007/BF01105677
AlTi,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,900,3,0.59,https://doi.org/10.1007/BF01105677
AlTi,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1000,3,3.37,https://doi.org/10.1007/BF01105677
Ti-47Al,47.12,0.0,0.0,0.0,0.0,0.0,0.0,52.88,0.0,0.0,0.0,800,3,0.13,https://doi.org/10.1007/BF03027458
Ti-47Al,47.12,0.0,0.0,0.0,0.0,0.0,0.0,52.88,0.0,0.0,0.0,900,3,0.42,https://doi.org/10.1007/BF03027458
Ti-47Al,47.12,0.0,0.0,0.0,0.0,0.0,0.0,52.88,0.0,0.0,0.0,1000,3,2.22,https://doi.org/10.1007/BF03027458
Ti-51Al,50.56,0.0,0.0,0.0,0.0,0.0,0.0,49.44,0.0,0.0,0.0,800,3,0.07,https://doi.org/10.1007/BF03027458
Ti-51Al,50.56,0.0,0.0,0.0,0.0,0.0,0.0,49.44,0.0,0.0,0.0,900,3,0.55,https://doi.org/10.1007/BF03027458
Ti-51Al,50.56,0.0,0.0,0.0,0.0,0.0,0.0,49.44,0.0,0.0,0.0,1000,3,2.65,https://doi.org/10.1007/BF03027458
Ti-43Al2W0.1Si,43.0,0.0,0.0,0.0,0.0,0.1,0.0,54.9,0.0,2.0,0.0,800,3,0.05,https://doi.org/10.1007/BF03027458
Ti-43Al2W0.1Si,43.0,0.0,0.0,0.0,0.0,0.1,0.0,54.9,0.0,2.0,0.0,900,3,0.13,https://doi.org/10.1007/BF03027458
Ti-43Al2W0.1Si,43.0,0.0,0.0,0.0,0.0,0.1,0.0,54.9,0.0,2.0,0.0,1000,3,0.58,https://doi.org/10.1007/BF03027458
Ti-39.4Al-10V,39.4,0.0,0.0,0.0,0.0,0.0,0.0,50.6,10.0,0.0,0.0,1000,3,6.34,https://doi.org/10.1007/BF03027458
Ti-48.4Al-1.9W,48.4,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.0,1.9,0.0,800,3,0.14,https://doi.org/10.1007/BF03027458
Ti-48.4Al-1.9W,48.4,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.0,1.9,0.0,900,3,0.2,https://doi.org/10.1007/BF03027458
Ti-48.4Al-1.9W,48.4,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.0,1.9,0.0,1000,3,0.44,https://doi.org/10.1007/BF03027458
Ti-48Al-2Cr2Nb,48.11,2.02,0.0,0.0,2.0,0.0,0.0,47.87,0.0,0.0,0.0,800,3,0.04,https://doi.org/10.1007/BF03027458
Ti-48Al-2Cr2Nb,48.11,2.02,0.0,0.0,2.0,0.0,0.0,47.87,0.0,0.0,0.0,900,3,0.33,https://doi.org/10.1007/BF03027458
Ti-48Al-2Cr2Nb,48.11,2.02,0.0,0.0,2.0,0.0,0.0,47.87,0.0,0.0,0.0,1000,3,1.16,https://doi.org/10.1007/BF03027458
Ti-47Al-4Cr,47.32,3.57,0.0,0.0,0.0,0.0,0.0,49.11,0.0,0.0,0.0,900,3,1.54,https://doi.org/10.1007/BF03027458
Ti-47Al-4Cr,47.32,3.57,0.0,0.0,0.0,0.0,0.0,49.11,0.0,0.0,0.0,1000,3,5.41,https://doi.org/10.1007/BF03027458
Ti23Al,23.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,900,3,8.13,https://doi.org/10.1023/A:1018839511102
Ti-46Al-1Cr-0.2Si,46.0,1.0,0.0,0.0,0.0,0.2,0.0,52.8,0.0,0.0,0.0,700,3,0.02,https://doi.org/10.1023/A:1004534830767
Ti-46Al-1Cr-0.2Si,46.0,1.0,0.0,0.0,0.0,0.2,0.0,52.8,0.0,0.0,0.0,800,3,0.54,https://doi.org/10.1023/A:1004534830767
Ti-46Al-1Cr-0.2Si,46.0,1.0,0.0,0.0,0.0,0.2,0.0,52.8,0.0,0.0,0.0,900,3,3.13,https://doi.org/10.1023/A:1004534830767
Ti-6Al-4V,9.76,0.0,0.0,0.0,0.0,0.0,0.0,86.75,3.49,0.0,0.0,700,3,0.27,https://doi.org/10.1016/j.jallcom.2008.04.024
Ti-6Al-4V,9.76,0.0,0.0,0.0,0.0,0.0,0.0,86.75,3.49,0.0,0.0,750,3,0.94,https://doi.org/10.1016/j.jallcom.2008.04.024
Mo-37Si-40Ti,0.0,0.0,0.0,23.0,0.0,37.0,0.0,40.0,0.0,0.0,0.0,750,3,0.09,https://doi.org/10.1016/j.scriptamat.2011.10.042
Mo-37Si-40Ti,0.0,0.0,0.0,23.0,0.0,37.0,0.0,40.0,0.0,0.0,0.0,820,3,0.24,https://doi.org/10.1016/j.scriptamat.2011.10.042
Mo-37Si-40Ti,0.0,0.0,0.0,23.0,0.0,37.0,0.0,40.0,0.0,0.0,0.0,1100,3,0.52,https://doi.org/10.1016/j.scriptamat.2011.10.042
Mo-37Si-40Ti,0.0,0.0,0.0,23.0,0.0,37.0,0.0,40.0,0.0,0.0,0.0,1300,3,1.74,https://doi.org/10.1016/j.scriptamat.2011.10.042
CrMo0.5NbTa0.5TiZr,0.0,18.39,0.0,10.04,21.83,0.0,11.86,19.4,0.0,0.0,18.48,1000,3,20.66,https://doi.org/10.1007/s10853-012-6582-0
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,900,3,0.15,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1000,3,0.58,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1100,3,1.38,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi-1Si,19.8,19.8,0.0,19.8,19.8,1.0,0.0,19.8,0.0,0.0,0.0,900,3,0.28,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi-1Si,19.8,19.8,0.0,19.8,19.8,1.0,0.0,19.8,0.0,0.0,0.0,1000,3,0.87,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi-1Si,19.8,19.8,0.0,19.8,19.8,1.0,0.0,19.8,0.0,0.0,0.0,1100,3,1.19,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
CrNbTiZr,0.0,24.6,0.0,0.0,26.7,0.0,0.0,23.9,0.0,0.0,24.8,1000,3,26.67,https://doi.org/10.1016/j.jallcom.2017.09.164
